,FileName,"""RR""","""DET""","""NRLINE""","""maxL""","""L""","""ENTR""","""rENTR""","""LAM""","""TT"""
1,orangeRed,46.4,99.80603448,1101,66,16.82470481,3.344956624,0.801304816,100,28.64197531
2,orangeRed,39.195,99.87243271,654,105,23.94189602,3.579992975,0.821719586,100,35.47058824
3,orangeRed,55.54,99.09974793,1189,84,18.51640034,3.440158802,0.821107947,100,32.24383164
4,orangeRed,9.995,99.79989995,259,51,15.40540541,2.923720062,0.772614574,100,22.71590909
5,orangeRed,4.5,99.77777778,284,10,6.323943662,0.945567433,0.430346284,100,9
6,orangeRed,0,NA,0,0,0,NA,NA,NA,NA
7,orangeRed,18.205,96.89645702,894,33,7.89261745,2.02584291,0.595626388,97.63801154,8.909774436
8,orangeRed,37.99,99.93419321,696,73,21.81896552,2.964901721,0.693274069,100,26.2
9,orangeRed,31.895,99.81188274,1358,39,9.377025037,2.262696485,0.658912323,100,63.79
10,orangeRed,28.86,99.96534997,320,92,36.0625,3.591349429,0.796156348,100,52
11,orangeRed,11.9275,97.38000419,590,31,7.874576271,2.521308978,0.889911444,100,15.64262295
12,orangeRed,25.28,99.46598101,899,88,11.18798665,3.065143255,0.77957253,100,20.51115619
13,orangeRed,53.175,99.89656794,642,118,33.09657321,3.448825161,0.724212347,100,55.68062827
14,orangeRed,67.1225,99.87336586,1018,130,26.34086444,3.026228189,0.622704734,99.944132,86.56129032
15,orangeRed,27.735,99.3690283,1112,48,9.913669065,3.005301089,0.78056776,100,16.65765766
16,orangeRed,17.95,99.5821727,665,27,10.7518797,2.61803699,0.80354801,100,14.07843137
17,orangeRed,46.55,99.87110634,1300,31,14.30461538,2.417537752,0.710790196,100,16.33333333
18,orangeRed,15.9025,98.77377771,1008,24,6.233134921,2.14459395,0.715883048,100,7.608851675
19,orangeRed,91.5,99.98907104,577,150,63.42461005,3.920546793,0.78349098,100,91.5
20,orangeRed,96,99.99479167,389,192,98.70951157,5.235633457,0.996831854,100,200
1,blueRed,47.0725,99.63885496,1386,63,13.53607504,3.257380165,0.809216291,100,24.84036939
2,blueRed,46.455,99.89236896,718,110,25.85236769,3.274975229,0.753941512,100,39.87553648
3,blueRed,76.3875,99.9018164,1248,81,24.45913462,3.425378828,0.817580216,100,39.94117647
4,blueRed,3.65,99.5890411,209,16,6.956937799,1.144480639,0.520875586,100,9.068322981
5,blueRed,5.2075,99.03984638,239,27,8.631799163,2.079048639,0.638117568,100,11.63687151
6,blueRed,48.4075,99.89671022,852,102,22.70305164,3.654831997,0.866174979,100,48.4075
7,blueRed,18.815,97.27610949,946,34,7.738900634,2.212350911,0.644251355,97.96704757,8.926150121
8,blueRed,46.6075,99.82835381,1071,80,17.37721755,3.34394716,0.779391393,100,24.75830013
9,blueRed,53.195,99.91540558,1140,82,18.64912281,2.759472725,0.695030185,100,106.39
10,blueRed,52,99.98076923,498,92,41.75903614,2.83808969,0.629168274,100,52
11,blueRed,28.905,99.41186646,1155,58,9.951515152,2.976792699,0.791447572,100,17.78769231
12,blueRed,23.52,99.91496599,292,58,32.19178082,3.777939138,0.93442771,100,51.97790055
13,blueRed,54.9,99.98178506,480,118,45.74166667,3.266516846,0.685929765,100,60
14,blueRed,28.71,99.84326019,374,61,30.65775401,2.752798773,0.672341746,99.89550679,58.53061224
15,blueRed,36.525,99.78097194,979,50,14.8907048,3.019277267,0.775800791,100,18.94941634
16,blueRed,10.3725,99.18052543,508,27,8.100393701,2.659704147,0.816336814,100,10.97619048
17,blueRed,40.355,99.65307892,1327,36,12.12207988,2.675420054,0.779100181,100,16.04572565
18,blueRed,6.265,98.48363927,431,14,5.726218097,2.111442456,0.8231907,100,7.039325843
19,blueRed,91.5,99.98907104,577,150,63.42461005,3.920546793,0.78349098,100,91.5
20,blueRed,100,99.995,397,200,100.7506297,5.292535063,0.999854578,100,200
1,blueOrange,38.12,99.76390346,997,56,15.25777332,3.245875349,0.809983897,100,35.54312354
2,blueOrange,50.505,99.96039996,496,145,40.71370968,3.923368038,0.823860718,100,90.1875
3,blueOrange,56.2125,99.10607071,959,99,23.2367049,3.277112505,0.739618146,99.19946631,39.13157895
4,blueOrange,38.545,99.93514074,551,81,27.96370236,3.128360033,0.731495035,100,49.25878594
5,blueOrange,57.95,99.95685936,1057,75,21.9205298,2.337718361,0.543141962,100,190
6,blueOrange,0,NA,0,0,0,NA,NA,NA,NA
7,blueOrange,68.085,99.88984358,931,100,29.22019334,3.855326783,0.854676759,100,48.54545455
8,blueOrange,35.67,99.97196524,349,80,40.87106017,3.734732183,0.854737786,100,116
9,blueOrange,47.705,99.43402159,1843,45,10.29517092,2.985007871,0.826661791,100,15.90166667
10,blueOrange,55.5,99.99099099,308,111,72.07142857,3.924616161,0.83493938,100,111
11,blueOrange,18.5875,98.399462,735,41,9.953741497,2.789118961,0.828296384,98.99125757,18.53904282
12,blueOrange,20.5275,99.95128486,257,51,31.93385214,3.516091647,0.898791148,100,51
13,blueOrange,80.0625,99.98750976,535,145,59.85233645,3.957109799,0.796229066,100,87.5
14,blueOrange,25.8275,99.84512632,573,61,18.0017452,2.761325278,0.674424254,100,25.57178218
15,blueOrange,22.625,99.73480663,645,48,13.99379845,2.915217056,0.757170207,100,17.77996071
16,blueOrange,30.0625,99.7006237,869,53,13.79631761,3.190456537,0.843101653,100,32.41239892
17,blueOrange,74.1,99.95951417,864,93,34.29166667,3.856075854,0.852776681,100,95
18,blueOrange,19.9225,99.39766596,776,33,10.20747423,2.561310413,0.739037966,100,17.32391304
19,blueOrange,100,99.995,397,200,100.7506297,5.292535063,0.999854578,100,200
20,blueOrange,96,99.99479167,389,192,98.70951157,5.235633457,0.996831854,100,192
