ID,Name,maxlag
1,blueOrange_V1_1,-1
2,blueOrange_V1_10,-50
3,blueOrange_V1_11,38
4,blueOrange_V1_12,34
5,blueOrange_V1_13,-50
6,blueOrange_V1_14,-50
7,blueOrange_V1_15,-14
8,blueOrange_V1_2,-8
9,blueOrange_V1_3,40
10,blueOrange_V1_4,8
11,blueOrange_V1_5,50
12,blueOrange_V1_6,2
13,blueOrange_V1_7,50
14,blueOrange_V1_8,50
15,blueOrange_V1_9,50
16,blueOrange_V2_1,50
17,blueOrange_V2_2,2
18,blueOrange_V2_3,31
19,blueOrange_V2_4,-38
20,blueOrange_V2_5,-50
21,blueRed_V1_1,-3
22,blueRed_V1_10,46
23,blueRed_V1_11,50
24,blueRed_V1_12,6
25,blueRed_V1_13,-42
26,blueRed_V1_14,-17
27,blueRed_V1_15,-17
28,blueRed_V1_2,2
29,blueRed_V1_3,35
30,blueRed_V1_4,8
31,blueRed_V1_5,-11
32,blueRed_V1_6,50
33,blueRed_V1_7,-50
34,blueRed_V1_8,-12
35,blueRed_V1_9,-14
36,blueRed_V2_1,50
37,blueRed_V2_2,49
38,blueRed_V2_3,-35
39,blueRed_V2_4,-33
40,blueRed_V2_5,-12
41,orangeRed_V1_1,7
42,orangeRed_V1_10,0
43,orangeRed_V1_11,50
44,orangeRed_V1_12,6
45,orangeRed_V1_13,16
46,orangeRed_V1_14,50
47,orangeRed_V1_15,-17
48,orangeRed_V1_2,5
49,orangeRed_V1_3,9
50,orangeRed_V1_4,34
51,orangeRed_V1_5,3
52,orangeRed_V1_6,-41
53,orangeRed_V1_7,-50
54,orangeRed_V1_8,-50
55,orangeRed_V1_9,0
56,orangeRed_V2_1,17
57,orangeRed_V2_2,-6
58,orangeRed_V2_3,28
59,orangeRed_V2_4,-45
60,orangeRed_V2_5,-50
