"","time","Target.x","Target.y"
"1",1291,7,7
"2",1292,7,7
"3",1293,7,7
"4",1294,7,7
"5",1295,7,7
"6",1296,7,7
"7",1297,7,7
"8",1298,7,7
"9",1299,7,7
"10",1300,7,7
"11",1301,7,7
"12",1302,7,7
"13",1303,7,7
"14",1304,7,7
"15",1305,7,7
"16",1306,7,7
"17",1307,7,7
"18",1308,7,7
"19",1309,7,7
"20",1310,7,7
"21",1311,7,7
"22",1312,7,7
"23",1313,7,7
"24",1314,7,7
"25",1315,7,7
"26",1316,7,7
"27",1317,7,7
"28",1318,7,7
"29",1319,7,7
"30",1320,7,7
"31",1321,7,7
"32",1322,7,7
"33",1323,7,7
"34",1324,7,7
"35",1325,7,7
"36",1326,7,7
"37",1327,7,7
"38",1328,7,7
"39",1329,7,7
"40",1330,7,7
"41",1331,7,7
"42",1332,7,7
"43",1333,7,7
"44",1334,7,7
"45",1335,7,7
"46",1336,7,7
"47",1337,7,7
"48",1338,7,7
"49",1339,7,7
"50",1340,7,7
"51",1341,7,7
"52",1342,7,7
"53",1343,7,7
"54",1344,7,7
"55",1345,7,7
"56",1346,7,7
"57",1347,32,7
"58",1348,32,7
"59",1349,32,7
"60",1350,32,7
"61",1351,32,7
"62",1352,32,7
"63",1353,32,7
"64",1354,32,7
"65",1355,32,7
"66",1356,32,7
"67",1357,32,32
"68",1358,32,32
"69",1359,32,32
"70",1360,32,32
"71",1361,32,32
"72",1362,1,32
"73",1363,1,32
"74",1364,1,7
"75",1365,1,7
"76",1366,1,7
"77",1367,1,7
"78",1368,7,7
"79",1369,7,7
"80",1370,7,7
"81",1371,7,7
"82",1372,7,7
"83",1373,7,7
"84",1374,7,7
"85",1375,7,32
"86",1376,7,32
"87",1377,7,32
"88",1378,7,32
"89",1379,32,32
"90",1380,32,32
"91",1381,32,32
"92",1382,32,32
"93",1383,32,32
"94",1384,32,32
"95",1385,32,32
"96",1386,32,32
"97",1387,32,32
"98",1388,32,7
"99",1389,32,7
"100",1390,32,7
"101",1391,32,7
"102",1392,32,7
"103",1393,32,7
"104",1394,32,7
"105",1395,32,7
"106",1396,32,7
"107",1397,32,7
"108",1398,32,7
"109",1399,32,7
"110",1400,32,7
"111",1401,7,7
"112",1402,7,7
"113",1403,7,7
"114",1404,7,7
"115",1405,7,7
"116",1406,7,7
"117",1407,7,7
"118",1408,7,7
"119",1409,7,7
"120",1410,7,7
"121",1411,7,7
"122",1412,7,7
"123",1413,7,7
"124",1414,7,7
"125",1415,32,7
"126",1416,32,7
"127",1417,32,7
"128",1418,32,7
"129",1419,32,7
"130",1420,7,2
"131",1421,7,2
"132",1422,7,2
"133",1423,7,7
"134",1424,7,7
"135",1425,7,7
"136",1426,7,7
"137",1427,7,7
"138",1428,7,7
"139",1429,7,7
"140",1430,7,7
"141",1431,7,7
"142",1432,7,7
"143",1433,7,7
"144",1434,7,7
"145",1435,7,7
"146",1436,7,7
"147",1437,7,7
"148",1438,7,7
"149",1439,7,7
"150",1440,7,7
"151",1441,7,7
"152",1442,7,7
"153",1443,7,7
"154",1444,7,7
"155",1445,7,7
"156",1446,7,7
"157",1447,7,7
"158",1448,7,7
"159",1449,7,32
"160",1450,32,32
"161",1451,32,32
"162",1452,32,32
"163",1453,32,32
"164",1454,32,32
"165",1455,32,32
"166",1456,32,7
"167",1457,32,7
"168",1458,32,7
"169",1459,32,7
"170",1460,32,7
"171",1461,32,7
"172",1462,32,7
"173",1463,32,7
"174",1464,32,7
"175",1465,1,7
"176",1466,1,7
"177",1467,1,7
"178",1468,1,7
"179",1469,1,7
"180",1470,1,7
"181",1471,1,1
"182",1472,1,1
"183",1473,1,1
"184",1474,1,1
"185",1475,1,1
"186",1476,1,1
"187",1477,1,1
"188",1478,1,1
"189",1479,1,1
"190",1480,1,1
"191",1481,1,1
"192",1482,1,1
"193",1483,1,1
"194",1484,1,1
"195",1485,1,1
"196",1486,1,1
"197",1487,1,1
"198",1488,1,1
"199",1489,1,1
"200",1490,1,1
